index,video_filename,subject_target,gend_vit_l_score,gend_hypersphere_distance,spatial_sbi_score,spectral_2d_dct_score,spectral_seam_ratio,audio_vocoder_score,clip_probe_score,exif_container_software,fused_ensemble_prob,final_verdict,inference_latency_ms
1,deepfake_ACM_Amar_Preet_Singh.mp4,ACM Amar Preet Singh,0.158,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.52,AUTHENTIC,982.15
2,deepfake_A_R_Rahman.mp4,A R Rahman,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,771.81
3,deepfake_Abhinav_Bindra.mp4,Abhinav Bindra,0.158,0.384,0.25,0.25,1.85,0.25,0.6,Lavf59.27.100,0.268,AUTHENTIC,737.42
4,deepfake_Adm_Krishna_Swaminathan.mp4,Adm Krishna Swaminathan,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,733.93
5,deepfake_Ajit_Doval.mp4,Ajit Doval,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,837.76
6,deepfake_Akhilesh_Yadav.mp4,Akhilesh Yadav,0.159,0.384,0.25,0.25,1.85,0.25,0.6,Lavf59.27.100,0.268,AUTHENTIC,744.79
7,deepfake_Alia_Bhatt.mp4,Alia Bhatt,0.158,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.52,AUTHENTIC,731.37
8,deepfake_Amartya_Sen.mp4,Amartya Sen,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,730.37
9,deepfake_Amit_Shah.mp4,Amit Shah,0.159,0.384,0.25,0.25,1.85,0.25,0.6,Lavf59.27.100,0.268,AUTHENTIC,739.23
10,deepfake_Amitabh_Bachchan.mp4,Amitabh Bachchan,0.158,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.52,AUTHENTIC,749.87
11,deepfake_Anurag_Thakur.mp4,Anurag Thakur,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,775.41
12,deepfake_Arundhati_Roy.mp4,Arundhati Roy,0.158,0.384,0.25,0.25,1.85,0.25,0.6,Lavf59.27.100,0.268,AUTHENTIC,776.44
13,deepfake_Arvind_Kejriwal.mp4,Arvind Kejriwal,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,872.43
14,deepfake_Asha_Bhosle.mp4,Asha Bhosle,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,812.21
15,deepfake_Ashwini_Vaishnaw.mp4,Ashwini Vaishnaw,0.159,0.384,0.25,0.25,1.85,0.25,0.6,Lavf59.27.100,0.268,AUTHENTIC,1024.96
16,deepfake_Azim_Premji.mp4,Azim Premji,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,945.22
17,deepfake_Bhavish_Aggarwal.mp4,Bhavish Aggarwal,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,1041.63
18,deepfake_CNR_Rao.mp4,CNR Rao,0.159,0.384,0.25,0.25,1.85,0.25,0.6,Lavf59.27.100,0.268,AUTHENTIC,3758.0
19,deepfake_C_P_Radhakrishnan.mp4,C P Radhakrishnan,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,3062.97
20,deepfake_Cyrus_Poonawalla.mp4,Cyrus Poonawalla,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,4660.01
21,deepfake_Deepika_Padukone.mp4,Deepika Padukone,0.159,0.384,0.25,0.25,1.85,0.25,0.6,Lavf59.27.100,0.268,AUTHENTIC,2817.87
22,deepfake_Deepinder_Goyal.mp4,Deepinder Goyal,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,1095.98
23,deepfake_Devendra_Fadnavis.mp4,Devendra Fadnavis,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,1099.44
24,deepfake_Dharmendra_Pradhan.mp4,Dharmendra Pradhan,0.159,0.384,0.25,0.25,1.85,0.25,0.6,Lavf59.27.100,0.268,AUTHENTIC,1643.06
25,deepfake_Dilip_Shanghvi.mp4,Dilip Shanghvi,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,1615.3
26,deepfake_Droupadi_Murmu.mp4,Droupadi Murmu,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,3502.76
27,deepfake_Gautam_Adani.mp4,Gautam Adani,0.159,0.384,0.25,0.25,1.85,0.25,0.6,Lavf59.27.100,0.268,AUTHENTIC,3149.36
28,deepfake_Gen_Dhiraj_Seth.mp4,Gen Dhiraj Seth,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,1171.71
29,deepfake_Gyanesh_Kumar.mp4,Gyanesh Kumar,0.159,0.384,0.25,0.25,1.85,0.88,0.6,Lavf59.27.100,0.521,AUTHENTIC,761.27
30,deepfake_Himanta_Biswa_Sarma.mp4,Himanta Biswa Sarma,0.159,0.384,0.25,0.25,1.85,0.25,0.6,Lavf59.27.100,0.268,AUTHENTIC,761.24
