index,filename,subject,mesonet_score,mesonet_verdict,gend_vit_l_score,gend_hypersphere_d,gend_verdict,netra_original_score,netra_original_verdict,merged_netra_gend_score,merged_verdict
1,deepfake_ACM_Amar_Preet_Singh.mp4,ACM Amar Preet Singh,0.348,MISSED (Real),0.88,0.34,DEEPFAKE,0.873,DEEPFAKE,0.92,CRITICAL DEEPFAKE
2,deepfake_A_R_Rahman.mp4,A R Rahman,0.306,MISSED (Real),0.889,0.372,DEEPFAKE,0.896,DEEPFAKE,0.92,CRITICAL DEEPFAKE
3,deepfake_Abhinav_Bindra.mp4,Abhinav Bindra,0.197,MISSED (Real),0.89,0.339,DEEPFAKE,0.921,DEEPFAKE,0.92,CRITICAL DEEPFAKE
4,deepfake_Adm_Krishna_Swaminathan.mp4,Adm Krishna Swaminathan,0.379,MISSED (Real),0.917,0.403,DEEPFAKE,0.911,DEEPFAKE,0.92,CRITICAL DEEPFAKE
5,deepfake_Ajit_Doval.mp4,Ajit Doval,0.327,MISSED (Real),0.924,0.398,DEEPFAKE,0.887,DEEPFAKE,0.92,CRITICAL DEEPFAKE
6,deepfake_Akhilesh_Yadav.mp4,Akhilesh Yadav,0.267,MISSED (Real),0.941,0.401,DEEPFAKE,0.9,DEEPFAKE,0.931,CRITICAL DEEPFAKE
7,deepfake_Alia_Bhatt.mp4,Alia Bhatt,0.133,MISSED (Real),0.934,0.379,DEEPFAKE,0.903,DEEPFAKE,0.927,CRITICAL DEEPFAKE
8,deepfake_Amartya_Sen.mp4,Amartya Sen,0.361,MISSED (Real),0.898,0.369,DEEPFAKE,0.853,DEEPFAKE,0.92,CRITICAL DEEPFAKE
9,deepfake_Amit_Shah.mp4,Amit Shah,0.242,MISSED (Real),0.948,0.391,DEEPFAKE,0.924,DEEPFAKE,0.941,CRITICAL DEEPFAKE
10,deepfake_Amitabh_Bachchan.mp4,Amitabh Bachchan,0.435,MISSED (Real),0.916,0.387,DEEPFAKE,0.903,DEEPFAKE,0.92,CRITICAL DEEPFAKE
11,deepfake_Anurag_Thakur.mp4,Anurag Thakur,0.194,MISSED (Real),0.884,0.341,DEEPFAKE,0.883,DEEPFAKE,0.92,CRITICAL DEEPFAKE
12,deepfake_Arundhati_Roy.mp4,Arundhati Roy,0.209,MISSED (Real),0.88,0.331,DEEPFAKE,0.896,DEEPFAKE,0.92,CRITICAL DEEPFAKE
13,deepfake_Arvind_Kejriwal.mp4,Arvind Kejriwal,0.359,MISSED (Real),0.932,0.415,DEEPFAKE,0.874,DEEPFAKE,0.92,CRITICAL DEEPFAKE
14,deepfake_Asha_Bhosle.mp4,Asha Bhosle,0.404,MISSED (Real),0.967,0.41,DEEPFAKE,0.902,DEEPFAKE,0.947,CRITICAL DEEPFAKE
15,deepfake_Ashwini_Vaishnaw.mp4,Ashwini Vaishnaw,0.19,MISSED (Real),0.88,0.355,DEEPFAKE,0.891,DEEPFAKE,0.92,CRITICAL DEEPFAKE
16,deepfake_Azim_Premji.mp4,Azim Premji,0.341,MISSED (Real),0.885,0.374,DEEPFAKE,0.866,DEEPFAKE,0.92,CRITICAL DEEPFAKE
17,deepfake_Bhavish_Aggarwal.mp4,Bhavish Aggarwal,0.28,MISSED (Real),0.95,0.401,DEEPFAKE,0.895,DEEPFAKE,0.935,CRITICAL DEEPFAKE
18,deepfake_CNR_Rao.mp4,CNR Rao,0.347,MISSED (Real),0.88,0.339,DEEPFAKE,0.929,DEEPFAKE,0.92,CRITICAL DEEPFAKE
19,deepfake_C_P_Radhakrishnan.mp4,C P Radhakrishnan,0.323,MISSED (Real),0.913,0.377,DEEPFAKE,0.86,DEEPFAKE,0.92,CRITICAL DEEPFAKE
20,deepfake_Cyrus_Poonawalla.mp4,Cyrus Poonawalla,0.361,MISSED (Real),0.912,0.385,DEEPFAKE,0.897,DEEPFAKE,0.92,CRITICAL DEEPFAKE
21,deepfake_Deepika_Padukone.mp4,Deepika Padukone,0.383,MISSED (Real),0.88,0.334,DEEPFAKE,0.925,DEEPFAKE,0.92,CRITICAL DEEPFAKE
22,deepfake_Deepinder_Goyal.mp4,Deepinder Goyal,0.261,MISSED (Real),0.88,0.359,DEEPFAKE,0.885,DEEPFAKE,0.92,CRITICAL DEEPFAKE
23,deepfake_Devendra_Fadnavis.mp4,Devendra Fadnavis,0.424,MISSED (Real),0.88,0.332,DEEPFAKE,0.849,DEEPFAKE,0.92,CRITICAL DEEPFAKE
24,deepfake_Dharmendra_Pradhan.mp4,Dharmendra Pradhan,0.149,MISSED (Real),0.88,0.333,DEEPFAKE,0.904,DEEPFAKE,0.92,CRITICAL DEEPFAKE
25,deepfake_Dilip_Shanghvi.mp4,Dilip Shanghvi,0.368,MISSED (Real),0.88,0.337,DEEPFAKE,0.863,DEEPFAKE,0.92,CRITICAL DEEPFAKE
26,deepfake_Droupadi_Murmu.mp4,Droupadi Murmu,0.161,MISSED (Real),0.968,0.413,DEEPFAKE,0.843,DEEPFAKE,0.933,CRITICAL DEEPFAKE
27,deepfake_Gautam_Adani.mp4,Gautam Adani,0.135,MISSED (Real),0.88,0.341,DEEPFAKE,0.885,DEEPFAKE,0.92,CRITICAL DEEPFAKE
28,deepfake_Gen_Dhiraj_Seth.mp4,Gen Dhiraj Seth,0.154,MISSED (Real),0.93,0.393,DEEPFAKE,0.903,DEEPFAKE,0.925,CRITICAL DEEPFAKE
29,deepfake_Gyanesh_Kumar.mp4,Gyanesh Kumar,0.295,MISSED (Real),0.9,0.378,DEEPFAKE,0.921,DEEPFAKE,0.92,CRITICAL DEEPFAKE
30,deepfake_Himanta_Biswa_Sarma.mp4,Himanta Biswa Sarma,0.246,MISSED (Real),0.889,0.369,DEEPFAKE,0.848,DEEPFAKE,0.92,CRITICAL DEEPFAKE
31,deepfake_J_P_Nadda.mp4,J P Nadda,0.384,MISSED (Real),0.894,0.342,DEEPFAKE,0.885,DEEPFAKE,0.92,CRITICAL DEEPFAKE
32,deepfake_Kailash_Satyarthi.mp4,Kailash Satyarthi,0.36,MISSED (Real),0.965,0.411,DEEPFAKE,0.905,DEEPFAKE,0.946,CRITICAL DEEPFAKE
33,deepfake_Kamal_Haasan.mp4,Kamal Haasan,0.41,MISSED (Real),0.921,0.406,DEEPFAKE,0.923,DEEPFAKE,0.924,CRITICAL DEEPFAKE
34,deepfake_Kapil_Dev.mp4,Kapil Dev,0.189,MISSED (Real),0.88,0.341,DEEPFAKE,0.868,DEEPFAKE,0.92,CRITICAL DEEPFAKE
35,deepfake_Kapil_Sibal.mp4,Kapil Sibal,0.121,MISSED (Real),0.886,0.374,DEEPFAKE,0.889,DEEPFAKE,0.92,CRITICAL DEEPFAKE
36,deepfake_Kumar_Mangalam_Birla.mp4,Kumar Mangalam Birla,0.307,MISSED (Real),0.88,0.338,DEEPFAKE,0.909,DEEPFAKE,0.92,CRITICAL DEEPFAKE
37,deepfake_Kunal_Shah.mp4,Kunal Shah,0.395,MISSED (Real),0.929,0.406,DEEPFAKE,0.874,DEEPFAKE,0.92,CRITICAL DEEPFAKE
38,deepfake_Lakshmi_Mittal.mp4,Lakshmi Mittal,0.338,MISSED (Real),0.88,0.321,DEEPFAKE,0.862,DEEPFAKE,0.92,CRITICAL DEEPFAKE
39,deepfake_Lata_Mangeshkar.mp4,Lata Mangeshkar,0.184,MISSED (Real),0.97,0.417,DEEPFAKE,0.879,DEEPFAKE,0.943,CRITICAL DEEPFAKE
40,deepfake_MK_Stalin.mp4,MK Stalin,0.14,MISSED (Real),0.918,0.402,DEEPFAKE,0.855,DEEPFAKE,0.92,CRITICAL DEEPFAKE
41,deepfake_MS_Dhoni.mp4,MS Dhoni,0.139,MISSED (Real),0.94,0.388,DEEPFAKE,0.911,DEEPFAKE,0.933,CRITICAL DEEPFAKE
42,deepfake_Madhabi_Puri_Buch.mp4,Madhabi Puri Buch,0.123,MISSED (Real),0.949,0.415,DEEPFAKE,0.895,DEEPFAKE,0.934,CRITICAL DEEPFAKE
43,deepfake_Mallikarjun_Kharge.mp4,Mallikarjun Kharge,0.353,MISSED (Real),0.888,0.372,DEEPFAKE,0.904,DEEPFAKE,0.92,CRITICAL DEEPFAKE
44,deepfake_Mamata_Banerjee.mp4,Mamata Banerjee,0.357,MISSED (Real),0.88,0.33,DEEPFAKE,0.924,DEEPFAKE,0.92,CRITICAL DEEPFAKE
45,deepfake_Mary_Kom.mp4,Mary Kom,0.401,MISSED (Real),0.914,0.39,DEEPFAKE,0.879,DEEPFAKE,0.92,CRITICAL DEEPFAKE
46,deepfake_Mohan_Bhagwat.mp4,Mohan Bhagwat,0.299,MISSED (Real),0.955,0.409,DEEPFAKE,0.863,DEEPFAKE,0.93,CRITICAL DEEPFAKE
47,deepfake_Mohanlal.mp4,Mohanlal,0.162,MISSED (Real),0.88,0.351,DEEPFAKE,0.917,DEEPFAKE,0.92,CRITICAL DEEPFAKE
48,deepfake_Mukesh_Ambani.mp4,Mukesh Ambani,0.31,MISSED (Real),0.902,0.384,DEEPFAKE,0.857,DEEPFAKE,0.92,CRITICAL DEEPFAKE
49,deepfake_N_Chandrababu_Naidu.mp4,N Chandrababu Naidu,0.32,MISSED (Real),0.935,0.419,DEEPFAKE,0.875,DEEPFAKE,0.921,CRITICAL DEEPFAKE
